Salah or Messi? — If I speak I am in big big trouble. https://t.co/94Op2jugNb
RT @wolffquique: Se entendió lo de Messi ? La Selección tenía que clasificarse al mundial y él hizo 3 goles contra Ecuador. El Barcelona es…
"RT @FoxSportsBrasil: 🇦🇷 Messi em 750 jogos: 604 gols 
🇵🇹 CR7 em 750 jogos: 499 gols 

👽 O E.T leva vantagem... https://t.co/iF1Ekb04if"
"RT @Arrowgance_: CR7 est plus âgé que Messi de 869 jours 
Le fils de CR7 est plus âgé que le fils de Messi de 869 jours https://t.co/Ju47NP…"
@marca @Cristiano @gianluigibuffon @Autismo_Espana @AsociacionASPAU @auTICmo @AutismoFESPAU En todo tienen que acordarse de messi
RT @elkaiser63: En TN se preguntan si Messi le falló a la selección por no jugar contra España y si hacerlo en el Barcelona contra el Sevil…
Messi Butuh Piala Dunia Untuk Samai Pele dan Maradona https://t.co/FiIqMiLn7v https://t.co/ugpGvbsitX
"RT @LaGrondonaTwitt: La Selección es un desastre sin Messi, el Barcelona es un desastre sin Messi. El día que Messi se retire seguramente e…"
"RT @rafa_sramos7: Deportes Cuatro llamando""Dios""a Messi. Como ha dicho Libermann,no existen periodistas deportivos objetivos,lo que hay son…"
"RT @sumariumcom: Las primeras fotografías de Ciro, el tercer hijo de Lionel Messi y Antonella Roccuzzo-
https://t.co/CMG2PJOKdE https://t.c…"
RT @libermanmartin: En este vídeo desenmascaro a @cristobalsoria y a @quimdomenech que se la pasan mintiendo sobre mi en @elchiringuitotv…
"RT @alain_4u_sport: المدرب الأرجنتيني السابق كارلوس بيلاردو يكشف عن حاجة #ليونيل_ميسي لأمر واحد فقط لمقارعة #مارادونا و #بيليه
#كأس_العالم…"
"@VarskySports Basta de boludeces. Messi hay uno solo, porteños vende humo"
"RT @Mundialistas: Hernán Crespo: ""Lionel Messi quiere ganar un Mundial que no necesita, como no lo necesitaron ni Cruyff ni Di Stéfano, par…"
"Siempre que se les compara sale a relucir el Mundial, por lo que deduzco que:
1. O la carrera de Maradona se reduce… https://t.co/RiijvToRPc"
"RT @_greegori: @fabolous3d @wonderboytwitt Chelsea fans refuse to agree to the fact Hazard is no where near Ronaldo or Messi. 
Dude is just…"
RT @2HinchasYMedio: Con Messi / sin Messi https://t.co/YD6mfiIVUf
